"filters1","kernel_size1","pool_size1","filters2","kernel_size2","dense_units","dropout_cnn","dropout_dense","learning_rate","batch_size","epochs","val_accuracy","num_actual_epochs"
64,3,2,64,3,64,0.4,0.3,0.01,16,30,0.466019421815872,22
32,5,2,64,3,64,0.4,0.3,0.01,16,30,0.475728154182434,30
64,5,2,64,3,64,0.4,0.3,0.01,16,30,0.45631068944931,18
32,7,2,64,3,64,0.4,0.3,0.01,16,30,0.45631068944931,18
64,7,2,64,3,64,0.4,0.3,0.01,16,30,0.495145618915558,16
32,3,2,128,3,64,0.4,0.3,0.01,16,30,0.45631068944931,16
64,3,2,128,3,64,0.4,0.3,0.01,16,30,0.495145618915558,25
128,3,2,128,3,64,0.4,0.3,0.01,16,30,0.446601927280426,19
32,5,2,128,3,64,0.4,0.3,0.01,16,30,0.485436886548996,30
64,5,2,128,3,64,0.4,0.3,0.01,16,30,0.45631068944931,21
128,5,2,128,3,64,0.4,0.3,0.01,16,30,0.466019421815872,16
32,7,2,128,3,64,0.4,0.3,0.01,16,30,0.504854381084442,16
64,7,2,128,3,64,0.4,0.3,0.01,16,30,0.495145618915558,30
128,7,2,128,3,64,0.4,0.3,0.01,16,30,0.475728154182434,17
32,3,2,64,5,64,0.4,0.3,0.01,16,30,0.475728154182434,17
64,3,2,64,5,64,0.4,0.3,0.01,16,30,0.45631068944931,30
32,5,2,64,5,64,0.4,0.3,0.01,16,30,0.495145618915558,30
64,5,2,64,5,64,0.4,0.3,0.01,16,30,0.446601927280426,17
32,7,2,64,5,64,0.4,0.3,0.01,16,30,0.466019421815872,17
64,7,2,64,5,64,0.4,0.3,0.01,16,30,0.466019421815872,22
32,3,2,128,5,64,0.4,0.3,0.01,16,30,0.466019421815872,17
64,3,2,128,5,64,0.4,0.3,0.01,16,30,0.45631068944931,19
128,3,2,128,5,64,0.4,0.3,0.01,16,30,0.495145618915558,16
32,5,2,128,5,64,0.4,0.3,0.01,16,30,0.45631068944931,17
64,5,2,128,5,64,0.4,0.3,0.01,16,30,0.475728154182434,17
128,5,2,128,5,64,0.4,0.3,0.01,16,30,0.475728154182434,28
32,7,2,128,5,64,0.4,0.3,0.01,16,30,0.485436886548996,30
64,7,2,128,5,64,0.4,0.3,0.01,16,30,0.45631068944931,17
128,7,2,128,5,64,0.4,0.3,0.01,16,30,0.466019421815872,20
32,3,2,0,3,128,0.4,0.3,0.01,16,30,0.466019421815872,26
64,3,2,0,3,128,0.4,0.3,0.01,16,30,0.524271845817566,30
128,3,2,0,3,128,0.4,0.3,0.01,16,30,0.485436886548996,30
32,5,2,0,3,128,0.4,0.3,0.01,16,30,0.475728154182434,30
64,5,2,0,3,128,0.4,0.3,0.01,16,30,0.475728154182434,27
128,5,2,0,3,128,0.4,0.3,0.01,16,30,0.495145618915558,16
32,7,2,0,3,128,0.4,0.3,0.01,16,30,0.485436886548996,21
64,7,2,0,3,128,0.4,0.3,0.01,16,30,0.45631068944931,19
128,7,2,0,3,128,0.4,0.3,0.01,16,30,0.466019421815872,18
32,3,2,64,3,128,0.4,0.3,0.01,16,30,0.466019421815872,30
64,3,2,64,3,128,0.4,0.3,0.01,16,30,0.45631068944931,16
32,5,2,64,3,128,0.4,0.3,0.01,16,30,0.485436886548996,30
64,5,2,64,3,128,0.4,0.3,0.01,16,30,0.45631068944931,19
32,7,2,64,3,128,0.4,0.3,0.01,16,30,0.485436886548996,30
64,7,2,64,3,128,0.4,0.3,0.01,16,30,0.475728154182434,26
32,3,2,128,3,128,0.4,0.3,0.01,16,30,0.485436886548996,30
64,3,2,128,3,128,0.4,0.3,0.01,16,30,0.466019421815872,22
128,3,2,128,3,128,0.4,0.3,0.01,16,30,0.436893194913864,17
32,5,2,128,3,128,0.4,0.3,0.01,16,30,0.504854381084442,30
64,5,2,128,3,128,0.4,0.3,0.01,16,30,0.475728154182434,17
128,5,2,128,3,128,0.4,0.3,0.01,16,30,0.485436886548996,18
32,7,2,128,3,128,0.4,0.3,0.01,16,30,0.504854381084442,30
64,7,2,128,3,128,0.4,0.3,0.01,16,30,0.514563083648682,30
128,7,2,128,3,128,0.4,0.3,0.01,16,30,0.485436886548996,30
32,3,2,64,5,128,0.4,0.3,0.01,16,30,0.475728154182434,16
64,3,2,64,5,128,0.4,0.3,0.01,16,30,0.466019421815872,17
32,5,2,64,5,128,0.4,0.3,0.01,16,30,0.495145618915558,30
64,5,2,64,5,128,0.4,0.3,0.01,16,30,0.466019421815872,16
32,7,2,64,5,128,0.4,0.3,0.01,16,30,0.466019421815872,16
64,7,2,64,5,128,0.4,0.3,0.01,16,30,0.475728154182434,19
32,3,2,128,5,128,0.4,0.3,0.01,16,30,0.504854381084442,30
64,3,2,128,5,128,0.4,0.3,0.01,16,30,0.466019421815872,30
128,3,2,128,5,128,0.4,0.3,0.01,16,30,0.45631068944931,17
32,5,2,128,5,128,0.4,0.3,0.01,16,30,0.495145618915558,30
64,5,2,128,5,128,0.4,0.3,0.01,16,30,0.45631068944931,16
128,5,2,128,5,128,0.4,0.3,0.01,16,30,0.475728154182434,20
32,7,2,128,5,128,0.4,0.3,0.01,16,30,0.45631068944931,29
64,7,2,128,5,128,0.4,0.3,0.01,16,30,0.504854381084442,19
128,7,2,128,5,128,0.4,0.3,0.01,16,30,0.514563083648682,30
32,3,2,0,3,256,0.4,0.3,0.01,16,30,0.475728154182434,30
64,3,2,0,3,256,0.4,0.3,0.01,16,30,0.485436886548996,30
128,3,2,0,3,256,0.4,0.3,0.01,16,30,0.466019421815872,16
32,5,2,0,3,256,0.4,0.3,0.01,16,30,0.485436886548996,30
64,5,2,0,3,256,0.4,0.3,0.01,16,30,0.495145618915558,30
128,5,2,0,3,256,0.4,0.3,0.01,16,30,0.475728154182434,23
32,7,2,0,3,256,0.4,0.3,0.01,16,30,0.475728154182434,24
64,7,2,0,3,256,0.4,0.3,0.01,16,30,0.485436886548996,22
128,7,2,0,3,256,0.4,0.3,0.01,16,30,0.485436886548996,18
